name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,cost_for_two,restaurant_type,city_list
tunday kababi,Yes,No,3.9,1142,koramangala 5th block,casual dining,"Biryani, Galauti Kebab, Tandoori Chicken, Phirni, Tundey Paratha, Rolls, Rumali Roti","North Indian, Kebab",500,Dine-out,Koramangala 5th Block
barbeque delight,Yes,No,3.8,66,koramangala 5th block,casual dining,"Tandoori Chicken, Paratha","Arabian, Kerala, North Indian, Chinese, BBQ",800,Dine-out,Koramangala 5th Block
fresh pressery cafe,Yes,No,4.1,141,koramangala 5th block,cafe,"Salads, Chicken Sandwich, Spaghetti, Arugula Salad, Cheesecake, Cheese Chilli Toast, Pasta","Cafe, Healthy Food, Salad, Beverages, Desserts","1,200",Dine-out,Koramangala 5th Block
aami bangali,Yes,No,3.6,73,koramangala 5th block,casual dining,"Basanti Pulao, Fish, Aloo Posto, Thali, Daab Chingri",Bengali,700,Dine-out,Koramangala 5th Block
over the top terrace lounge,No,Yes,3.9,1389,koramangala 5th block,lounge,"Nachos, Pasta, Cocktails, Khamiri Roti, Beer, Lamb, Burgers","Continental, North Indian","1,400",Dine-out,Koramangala 5th Block
naati manae,Yes,Yes,3.9,485,koramangala 5th block,casual dining,"Chicken Chettinad, Donne Biryani, Chicken Guntur, Veg Thali, Gobi Tikka, Mutton Chops, Chicken Curry","North Indian, South Indian, Chinese, Biryani",700,Dine-out,Koramangala 5th Block
popsies,Yes,No,3.9,823,koramangala 5th block,casual dining,"Momos, Chilli Chicken, Chicken Manchow Soup, Spicy Chicken Wings, Thukpa, Chicken Noodle, Tai Pai Chicken","Chinese, Momos",750,Dine-out,Koramangala 5th Block
sherlock's pub,No,Yes,3.9,590,koramangala 5th block,"pub, casual dining","Mai Thai, Cocktails, Tiramisu Martini, Beer, Chilli Chicken, Beef Chilli, Long Island Iced Tea","Continental, North Indian, Chinese","1,300",Dine-out,Koramangala 5th Block
mani's dum biryani,Yes,No,3.9,782,koramangala 5th block,casual dining,"Kebab Biryani, Raita, Chicken Biryani, Vegetable Biryani, Basmati Rice, Hyderabadi Biryani, Dum Biryani",Biryani,750,Dine-out,Koramangala 5th Block
tandoor hut,Yes,No,4.1,1003,koramangala 5th block,casual dining,"Biryani, Tandoori Chicken, Panneer Butter Masala, Naan, Mutton Roganjosh, Lassi, Chicken Tikka Masala","North Indian, Mughlai, Chinese, Rolls",700,Dine-out,Koramangala 5th Block
chai galli,Yes,No,4.4,480,koramangala 5th block,cafe,"Tea, Chai, Margherita Pizza, Sandwiches, Corn Sandwich, Paneer Parantha, Brownie","Cafe, Tea, Street Food",450,Dine-out,Koramangala 5th Block
shree thali,No,No,4.1,183,koramangala 5th block,mess,"Veg Thali, Paratha, Kadhi, Shrikhand, Buttermilk, Sweet Lassi, Bati Churma",North Indian,150,Dine-out,Koramangala 5th Block
haji ali juice centre,Yes,No,4.0,152,koramangala 5th block,"beverage shop, quick bites","Faluda, Sandwiches, Paneer Tikka Pizza, Cream Mango, Custard Apple Cream, Veg Sandwich","Beverages, Fast Food, Desserts",350,Dine-out,Koramangala 5th Block
little lucknow,Yes,Yes,4.0,236,koramangala 5th block,casual dining,"Shami Kebab, Kadhai Murgh, Butter Chicken, Chicken Biryani, Mughlai Paratha, Paneer Lababdar, Mughlai Chicken","Mughlai, North Indian",800,Dine-out,Koramangala 5th Block
namaste kitchen,Yes,No,3.8,172,koramangala 5th block,casual dining,"Jalebi, Chaat, Dal Makhani, Tandoori Roti","North Indian, South Indian, Chinese",550,Dine-out,Koramangala 5th Block
cafemoto,Yes,No,4.0,201,koramangala 5th block,cafe,"Burgers, Chicken Burger, Beef Burger, Mojito, Tea, French Fries, White Sauce Pasta","Cafe, Continental, Italian, Burger",800,Dine-out,Koramangala 5th Block
the paramount hotel,Yes,No,3.6,242,koramangala 5th block,casual dining,"Chicken Grill, Biryani, Shawarma","North Indian, Seafood, Biryani, Kerala","1,000",Dine-out,Koramangala 5th Block
wtf,Yes,No,4.1,93,koramangala 5th block,cafe,"Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Nachos, Omelette, Peanut Butter Milkshake","Cafe, Continental",600,Dine-out,Koramangala 5th Block
thalassery restaurant,Yes,No,3.7,382,koramangala 5th block,casual dining,"Tea, Fish, Thalassery Biryani, Garlic Naan, Chicken Curry, Ghee Rice, Sea Food","Kerala, Biryani, South Indian, North Indian, Chinese, Seafood, Juices",600,Dine-out,Koramangala 5th Block
flavor of tibet,No,No,4.0,57,koramangala 5th block,casual dining,"Noodles, Chicken Manchow Soup, Veg Momos",Tibetan,500,Dine-out,Koramangala 5th Block
billionaires cafe,No,No,3.8,47,koramangala 5th block,cafe,Friendly Staff,"Cafe, Italian",600,Dine-out,Koramangala 5th Block
dhuaan,No,No,4.3,138,koramangala 5th block,cafe,"Paneer Pizza, Onion Rings, Oreo Shake, Peri Peri Chicken Pizza, Pasta","Cafe, Continental",800,Dine-out,Koramangala 5th Block
taj darbar,Yes,No,3.8,149,koramangala 5th block,casual dining,"Chicken Kebab Biryani, Rolls, Raita","Biryani, Mughlai, Chinese",600,Dine-out,Koramangala 5th Block
urban spoon buffet restaurant,No,Yes,3.5,32,koramangala 5th block,casual dining,Courteous Staff,"North Indian, Chinese","1,000",Dine-out,Koramangala 5th Block
purani dilli by anand sweets,Yes,No,4.1,238,koramangala 5th block,casual dining,"Chaat, Thali, Chole Bhature, Kulfi, Paneer Tikka, Lassi, Badam Milk","North Indian, Continental, Street Food",500,Dine-out,Koramangala 5th Block
momoz,No,No,3.9,626,koramangala 5th block,casual dining,"Noodles, Thukpa, Chop Suey, Chicken Momo, Cheese Momos, Sweet Corn Soup, Prawn","Chinese, Momos",600,Dine-out,Koramangala 5th Block
cafe coffee day,Yes,No,2.9,70,koramangala 5th block,cafe,Cappuccino,Cafe,650,Dine-out,Koramangala 5th Block
shaap,Yes,No,3.6,207,koramangala 5th block,casual dining,"Appam, Kappa Biryani, Chicken Fry, Kallappam, Buttermilk, Beef Fry, Paratha","Kerala, Seafood",500,Dine-out,Koramangala 5th Block
grills and tandoor,Yes,Yes,3.7,110,koramangala 5th block,casual dining,"Chicken Grill, Biryani, Shahi Tukda, Chop Suey, Barbeque Chicken, Naan, Fish","North Indian, Chinese",900,Dine-out,Koramangala 5th Block
tella tales,Yes,No,4.2,414,koramangala 5th block,cafe,"Pancakes, Pasta, Burgers, Exotic Veg Pizza, Mushroom Steak, Sushi, Peri Fries","Cafe, Desserts, Beverages",700,Dine-out,Koramangala 5th Block
stoner,Yes,No,4.5,2620,koramangala 5th block,"dessert parlor, cafe","Burgers, Spinach Pizza, Butter Chicken Pizza, Chicken Bbq Burger, Tiramisu, Ferrero Rocher, Brownie Shake","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500,Dine-out,Koramangala 5th Block
california burrito,No,No,4.1,1227,koramangala 5th block,quick bites,"Nachos, Rice Bowl, California Burrito, Rice Bowls, Chicken Quesadilla, Bbq Chicken, Pink Lemonade","Mexican, Fast Food",400,Dine-out,Koramangala 5th Block
sree krishna kafe,Yes,No,4.2,972,koramangala 5th block,quick bites,"Filter Coffee, Lunch Thali, Idli, Mini Idlis, Ghee Masala Dosa, Rasam Vada, Pongal",South Indian,200,Dine-out,Koramangala 5th Block
khawa karpo,No,No,4.3,995,koramangala 5th block,quick bites,"Momos, Noodles, Thukpa, Chicken Thupka, Manchow Soup, Chicken Momo, Crispy Honey Chicken","Chinese, Tibetan, Momos",350,Dine-out,Koramangala 5th Block
30 square,Yes,No,4.2,557,koramangala 5th block,quick bites,"Veg Momos, Noodles, Cheese Momos, Jhol Momos, Wai Wai Bhel, Brownie, Chicken Momo","Tibetan, Nepalese, Momos",400,Dine-out,Koramangala 5th Block
idc kitchen,No,No,4.2,52,koramangala 5th block,quick bites,"Masala Idli, Filter Coffee",South Indian,200,Dine-out,Koramangala 5th Block
leon grill,Yes,No,4.3,171,koramangala 5th block,quick bites,"Burgers, Peri Peri Chicken, Spicy Chicken, Grilled Lamb Burger, Chicken Burger, French Fries","Burger, Fast Food",500,Dine-out,Koramangala 5th Block
tibetan kitchen,Yes,No,4.3,246,koramangala 5th block,quick bites,"Noodles, Pasta, Tibetan Momos, Clear Soup, Thukpa, Steak, Chicken Momo","Tibetan, Chinese, Continental, Momos",600,Dine-out,Koramangala 5th Block
atta galata,No,No,4.1,209,koramangala 5th block,quick bites,"Sandwiches, Masala Pav, Chicken Burger, Filter Coffee, Burgers, Masala Chai, French Fries","Bakery, Beverages",200,Dine-out,Koramangala 5th Block
subway,Yes,No,3.7,219,koramangala 5th block,"quick bites, food court","Salads, Chicken Tikka, Veg Shammi, Teriyaki Chicken, Sandwich, Veggie Delight, Aloo Patty","Salad, Fast Food",600,Dine-out,Koramangala 5th Block
pizza hut,Yes,No,3.7,116,koramangala 5th block,quick bites,"Pizza, Lemonade, Pasta","Pizza, Fast Food",750,Dine-out,Koramangala 5th Block
sonar bangala,Yes,No,3.8,76,koramangala 5th block,quick bites,"Kosha Mangsho, Daab Chingri, Fish Curry, Dum Biryani","Bengali, North Indian",500,Dine-out,Koramangala 5th Block
momo hut,Yes,No,4.0,685,koramangala 5th block,quick bites,"Noodles, Beef Momos, Chicken Shaptra, Chicken Thukpa, Clear Soup, Beef Momo, Chicken Thupka","Chinese, Tibetan, Momos",250,Dine-out,Koramangala 5th Block
mcdonald's,Yes,No,3.8,295,koramangala 5th block,quick bites,"Burgers, Oreo Mcflurry, French Fries, Mcspicy Chicken Burger, Paneer Pockets, Tikki, Chicken Maharaja Mac","Fast Food, Burger",500,Dine-out,Koramangala 5th Block
chaska bun,Yes,No,4.2,166,koramangala 5th block,quick bites,"Ginger Tea, Chai, Samosa, Bun Omelette, Elaichi Tea, Egg Bhurji, Carrot Cake",Fast Food,300,Dine-out,Koramangala 5th Block
paratha plaza,Yes,No,3.9,41,koramangala 5th block,quick bites,Sattu Paratha,North Indian,250,Dine-out,Koramangala 5th Block
burger lounge,Yes,No,3.6,75,koramangala 5th block,quick bites,"Burgers, Zinger Burger","Burger, Fast Food, Beverages",600,Dine-out,Koramangala 5th Block
dosa plaza,Yes,No,3.8,140,koramangala 5th block,quick bites,Masala Dosa,"South Indian, North Indian, Chinese, Beverages",200,Dine-out,Koramangala 5th Block
kinpeetos,Yes,No,3.9,64,koramangala 5th block,quick bites,"Burgers, Belgian Fries, Pasta, Salads, Falafel Pockets, Greek Sandwich","Lebanese, Greek",300,Dine-out,Koramangala 5th Block
food and you,No,No,3.8,89,koramangala 5th block,quick bites,"Thali, Thepla, Gulab Jamun, Masala Lassi, Rice, Gujarati Food, Roti","North Indian, Gujarati",300,Dine-out,Koramangala 5th Block
natuna seafood house,Yes,No,4.1,76,koramangala 5th block,quick bites,"Sea Food, Thali, Red Snapper, Fish Fry, Neer Dosa",Seafood,450,Dine-out,Koramangala 5th Block
tapri by the corner,Yes,No,4.1,205,koramangala 5th block,quick bites,"Tea, Chole, Khichda, Butter Paneer, Paneer Bhurji, Paratha, Masala Chai",Fast Food,250,Dine-out,Koramangala 5th Block
calvin's,Yes,No,3.8,433,koramangala 5th block,"dessert parlor, quick bites","Club Chicken Sandwich, Sandwiches, Coffee, Pie, Burgers, Carrot Cake, Cheesecake",Desserts,800,Dine-out,Koramangala 5th Block
the bier library,Yes,Yes,4.3,563,koramangala 6th block,"microbrewery, casual dining","Beer, Pizza, Mocktails, Pasta, Rasmalai, Cocktails, Brownie","Continental, North Indian, Pizza, BBQ","2,000",Dine-out,Koramangala 5th Block
koramangala social,Yes,No,4.6,4694,koramangala 7th block,lounge,"Manchow Soup, Caramel Custard, Cocktails, Bbq Platter, Pork Ribs, Mocktails, Paratha","American, North Indian, Chinese, Finger Food","1,500",Dine-out,Koramangala 5th Block
bombay adda,No,Yes,4.4,2362,koramangala 7th block,"casual dining, bar","Nachos, Cocktails, Nasi Goreng, Chicken Tikka, Pav Bhaji Fondue, Tiramisu, Samosa",Modern Indian,"1,100",Dine-out,Koramangala 5th Block
the hole in the wall cafe,No,No,4.6,7122,koramangala 4th block,cafe,"Waffles, Healthy Breakfast, English Breakfast, Pancakes, Burgers, Sandwiches, Mushroom Omelette","Cafe, American, Burger",600,Dine-out,Koramangala 5th Block
fenny's lounge and kitchen,No,Yes,4.6,6372,koramangala 7th block,"bar, casual dining","Caramel Pudding, Cocktails, Pizza, Mocktails, Wedges, Bbq Chicken, Veg Starter","Mediterranean, Pizza, Continental, Seafood, Salad","1,600",Dine-out,Koramangala 5th Block
prost brew pub,No,Yes,4.5,7854,koramangala 4th block,"pub, microbrewery","Mango Cider, Cajun Potato, Nachos, Salads, Pizza, Wheat Beer, Pork Ribs","American, Continental, North Indian, Salad","1,800",Dine-out,Koramangala 5th Block
the fixx,No,Yes,4.3,217,koramangala 4th block,"casual dining, bar","Cocktails, Shakshouka, Beer, Margherita Pizza, Blueberry Cheesecake, Fries, Bellini","Continental, South Indian, Italian, North Indian, Chinese","1,200",Dine-out,Koramangala 5th Block
foxtrot - house of subculture,No,Yes,4.4,373,koramangala 3rd block,"cafe, lounge","Cocktails, Fish, Mocktails, Momos, Burgers, Pizza, Chicken Lollipop","Cafe, American, Asian, North Indian","1,000",Dine-out,Koramangala 5th Block
onesta,Yes,Yes,4.4,9079,koramangala 4th block,"casual dining, cafe","Berryblast, Gourmet Pizza, Mocktails, Ravioli, Bacon Pizza, Pasta, Prawn Pizza","Pizza, Cafe, Italian",600,Dine-out,Koramangala 5th Block
barbeque nation,No,Yes,4.7,3628,koramangala 1st block,casual dining,"Cocktails, Mutton Seekh, Tangdi Chicken, Mango Ice Cream, Biryani, Malai Kulfi, Fish","North Indian, European, Mediterranean, BBQ, Kebab","1,600",Dine-out,Koramangala 5th Block
roots,Yes,Yes,4.5,1889,koramangala 1st block,"casual dining, bar","Kadhai Murgh, Coffee Toffee, Pasta, Tandoori Chicken, Dum Aloo, Tandoori Pomfret, Butter Chicken","North Indian, South Indian, Chinese, Continental, Mangalorean","1,200",Dine-out,Koramangala 5th Block
gramin,Yes,No,4.3,3459,koramangala 7th block,casual dining,"Chaach, Bhindi Anardana, Thandai, Jal-jeera, Lunch Thali, Sweet Lassi, Crispy Babycorn",North Indian,600,Dine-out,Koramangala 5th Block
the terrace at gilly's redefined,No,Yes,4.6,890,koramangala 4th block,"microbrewery, casual dining","Cocktails, Beer, Mocktails, Biryani, Long Island Iced Tea, Pizza, Drunken Prawn","Continental, Finger Food, Asian, North Indian","1,400",Dine-out,Koramangala 5th Block
punjab bistro,Yes,Yes,4.4,459,koramangala 7th block,"casual dining, bar","Chicken Shorba, Paneer Tikka Masala, Cocktails, Jumbo Prawns, Beer, Butter Naan, Paan Shot",North Indian,"1,500",Dine-out,Koramangala 5th Block
nasi and mee,Yes,Yes,4.4,2394,koramangala 4th block,casual dining,"Salads, Shitake Mushrooms, Noodles, Dumplings, Nasi Goreng, Crispy Corn, Vegetarian","Malaysian, Thai, Singaporean, Asian, Chinese, Momos","1,000",Dine-out,Koramangala 5th Block
myu bar at gilly's redefined,No,Yes,4.5,1231,koramangala 4th block,"microbrewery, bar","Mai Thai, Sangria, Pizza, Cocktails, Biryani, Beer, Chicken Nachos","American, North Indian, Pizza, Finger Food, Continental, Italian","1,200",Dine-out,Koramangala 5th Block
third wave coffee roasters,No,No,4.4,1225,koramangala 4th block,cafe,"Coffee, Hummus Platter, Granola Parfait, Hot Chocolate, Cappuccino, Waffles, Skillet Cookie","Cafe, Continental, Desserts",800,Dine-out,Koramangala 5th Block
by the blue - grand mercure,No,Yes,4.1,786,koramangala 3rd block,casual dining,"Butter Naan, Mocktails, Cocktails, Sunday Brunch, Waffles, Gulab Jamun, Veg Platter","North Indian, Mughlai","1,500",Dine-out,Koramangala 5th Block
sotally tober,No,Yes,4.4,4081,koramangala 4th block,"bar, casual dining","Cocktails, Barbeque Chicken Pizza, Chocolate Martini, Nachos, Bbq Chicken Pizza, Wedges, Beer","Asian, Burger, Pizza, Chinese, Finger Food","1,200",Dine-out,Koramangala 5th Block
toscano,Yes,Yes,4.5,718,koramangala 7th block,casual dining,"Pizza, Pasta, Cocktails, Spinach Ravioli, Tiramisu, Panna Cotta, Wine","Italian, Salad","1,500",Dine-out,Koramangala 5th Block
1522 - the pub,No,Yes,4.2,1741,koramangala 4th block,pub,"Cocktails, Devils Chicken, Beer, Tandoori Chicken, Pasta, Pinacolada, Pizza","Chinese, Continental, North Indian","1,400",Dine-out,Koramangala 5th Block
zee5 loft,Yes,No,4.4,362,koramangala 6th block,cafe,"Tomato Soup, Brownie Shake, Pizza, Salad, Fries, Chicken Bbq Wings, Pasta","Cafe, North Indian, Pizza, Sandwich, Salad",500,Dine-out,Koramangala 5th Block
the old fashioned bar,No,Yes,4.5,571,koramangala 6th block,bar,"Cocktails, Long Island Iced Tea, Draught Beer, Masala Peanuts, Pizza, Mocktails, Chicken Tikka","Finger Food, North Indian, Continental","1,000",Dine-out,Koramangala 5th Block
blue tokai coffee roasters,Yes,No,4.0,75,koramangala 8th block,cafe,"Coffee, Potato Wedges","Cafe, Coffee",400,Dine-out,Koramangala 5th Block
b-hive,No,Yes,4.3,1551,koramangala 1st block,pub,"Tandoori Chicken, Cocktails, Noodles, Paneer Tikka, Beer, Nachos, Pasta","Finger Food, North Indian","1,200",Dine-out,Koramangala 5th Block
harry's bar + cafe,Yes,Yes,4.2,1367,koramangala 7th block,"casual dining, bar","Cocktails, Beer, Onion Rings, Burgers, Margherita Pizza, Mocktails, Veg Nachos","Asian, American, Mexican","1,400",Dine-out,Koramangala 5th Block
pasta street,Yes,Yes,4.5,261,koramangala 4th block,casual dining,"Pasta, Wine, Pizza, Lasagne, Cheesecake, Spinach Ravioli, Cocktails","Italian, Pizza, Salad","1,300",Dine-out,Koramangala 5th Block
the smoke co.,Yes,Yes,4.4,523,koramangala 6th block,casual dining,"Mysore Pak, Cocktails, Burgers, Pork Ribs, Fish, Mocktails, Beer","American, European","2,500",Dine-out,Koramangala 5th Block
barleyz,No,No,3.7,4652,koramangala 6th block,"lounge, microbrewery","Tandoori Chicken, Fish Chilli, Cocktails, Pizza, Craft Beer, Chaat, Long Island Iced Tea","North Indian, Continental, Chinese","2,000",Dine-out,Koramangala 5th Block
china pearl,Yes,Yes,4.4,1854,koramangala 6th block,casual dining,"Noodles, Veg Momos, Chicken Soup, Chicken Dumplings, Meishan Tofu, Sea Food, Mocktails",Chinese,"1,100",Dine-out,Koramangala 5th Block
salt - indian restaurant bar & grill,Yes,Yes,4.4,681,koramangala 7th block,casual dining,"Dahi Kebab, Lamb, Mocktails, Lassi, Vegetable Biryani, Galauti Kebab, Mutton Biryani","North Indian, Mughlai, Biryani","1,500",Dine-out,Koramangala 5th Block
bistro claytopia,Yes,Yes,4.1,1855,koramangala 1st block,cafe,"Burgers, Coffee, Cappuccino, Barbeque Burger, Sandwiches, Spinach Pasta, Sandwich","Cafe, American, Italian, Burger",600,Dine-out,Koramangala 5th Block
the beer cafe,Yes,Yes,4.2,1176,koramangala 4th block,pub,"Beer, Chilli Chicken, Pizza, Paneer Tikka, Cocktails, Nachos, Mocktails","Finger Food, Chinese, Italian, Burger","1,300",Dine-out,Koramangala 5th Block
cafe thulp,Yes,No,4.1,3006,koramangala 1st block,cafe,"Burgers, Fries, Pasta, Pork Chops, Chocolate Milkshake, Sandwiches, Waffles","Cafe, Burger, Italian, Salad","1,000",Dine-out,Koramangala 5th Block
mr. beans - home cafe,Yes,Yes,4.2,2714,koramangala 3rd block,cafe,"Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","1,000",Dine-out,Koramangala 5th Block
dialogues,No,No,4.1,314,koramangala 4th block,cafe,"Poha, Momos, Chai, Pasta, Tea, Pancakes, Chicken Sandwich","Cafe, Continental",600,Dine-out,Koramangala 5th Block
hanoi - vietnamese cuisine,Yes,Yes,4.4,1808,koramangala 4th block,casual dining,"Pho, Hot Pot, Sangria, Fig Ice Cream, Crepe, Fish, Pumpkin Soup",Vietnamese,"1,000",Dine-out,Koramangala 5th Block
koshe kosha,Yes,No,4.0,576,koramangala 1st block,casual dining,"Fish, Kosha Mangsho, Chicken Curry, Luchi, Chingri Malaikari, Biryani, Bhetki Fry","Bengali, Seafood",600,Dine-out,Koramangala 5th Block
pot-o-noodles,No,Yes,4.3,164,koramangala 4th block,casual dining,"Noodles, Mocktails, Miso Soup, Chilli Ramen, Chicken Grill, Gyoza, Steamed Rice","Chinese, Asian, Japanese",800,Dine-out,Koramangala 5th Block
stoked!,No,No,4.3,294,koramangala 4th block,cafe,"Pizza, Pancakes, Penne Pasta, Hot Chocolate, Mezze Platter, Cappuccino, Waffles","Cafe, Italian, Pizza",850,Dine-out,Koramangala 5th Block
mimansa @ foxtrot,Yes,Yes,4.4,192,koramangala 3rd block,cafe,"Pizza, Healthy Breakfast, Salads, Frittata, Salad, Carrot Halwa, Potato Fries",Cafe,"1,000",Dine-out,Koramangala 5th Block
anjappar,No,No,3.9,1160,koramangala 4th block,casual dining,"Tandoori Chicken, Biryani, Chettinad Thali, Elaneer Payasam, Crab Soup, Fish, Pepper Chicken","Chettinad, South Indian",650,Dine-out,Koramangala 5th Block
baba chatkora,Yes,No,4.2,823,koramangala 6th block,casual dining,"Matka Lassi, Paneer Tikka, Chole, Shikanji, Onion Kulcha, Malai Chaap, Soya Chaap",North Indian,"1,000",Dine-out,Koramangala 5th Block
bundar,No,No,4.1,2449,koramangala 6th block,cafe,"Burgers, Cheese Burger, Mojito, Peri Peri Fries, Apple Pie, Tea, Peri Peri Chicken Wings","Cafe, Burger, Fast Food, Desserts",700,Dine-out,Koramangala 5th Block
via milano,Yes,Yes,4.2,1626,koramangala 4th block,casual dining,"Pasta, Pizza, Steak, Mojito, Salads, Tiramisu, Sea Food","Salad, Italian, Desserts, Pizza","1,500",Dine-out,Koramangala 5th Block
lot like crepes,Yes,No,4.6,1026,koramangala 7th block,"cafe, dessert parlor","Paneer Peri Peri, Pancakes, Fajitas, Sweet Crepe, Peri Peri Chicken, Chicken Breast, Nutella Crepe","Cafe, Desserts, Continental",550,Dine-out,Koramangala 5th Block
oldtown dilli,Yes,Yes,4.1,258,koramangala 4th block,casual dining,"Rabri, Tandoori Roti, Mutton Roganjosh, Shahi Tukda, Naan, Mutton Seekh, Malai Kofta","Mughlai, North Indian, Turkish, Afghan",750,Dine-out,Koramangala 5th Block
nandhana palace,No,Yes,4.1,811,koramangala 4th block,"casual dining, bar","Supreme Chicken Biryani, Chicken Curry, Curd Rice, Chilli Chicken, Veg Thali, Lime Soda, Mutton Bone Soup","Andhra, Biryani, North Indian, Chinese",800,Dine-out,Koramangala 5th Block
carrots,Yes,Yes,4.1,601,koramangala 6th block,casual dining,"Pizza, Pasta, Salads, Masala Chai, Soya Buttermilk, Burgers, Chocolate Icecreams","Italian, North Indian, Healthy Food, Desserts","1,100",Dine-out,Koramangala 5th Block
magnolia,Yes,Yes,4.1,674,koramangala 3rd block,casual dining,"Noodles, Pinacolada, Mocktails, Salad, Thai Green Curry, Spicy Crabmeat Soup, Clear Soup","Chinese, Thai, Asian",900,Dine-out,Koramangala 5th Block
anupam's coast ii coast,Yes,No,4.1,845,koramangala 6th block,casual dining,"Neer Dosa, Murgh Ghee Roast, Sea Food, Fish, Ghee Rice, Appam, Prawn Ghee Roast","Seafood, Mangalorean, North Indian, Chinese",700,Dine-out,Koramangala 5th Block
enerjuvate studio & cafe,Yes,Yes,4.4,466,koramangala 4th block,cafe,"Pizza, Healthy Breakfast, Momos, Enchiladas, Aloo Papdi Chaat, Coffee, Tea","Cafe, Continental, Healthy Food, Sandwich, Pizza, Desserts, Beverages",800,Dine-out,Koramangala 5th Block
tibetan mother's kitchen,Yes,No,4.0,960,koramangala 7th block,casual dining,"Momos, Noodles, Thukpa, Honey Chilli Potatoes, Chicken Thupka, Pork Chilli, Crispy Honey Chicken","Tibetan, Chinese, Momos",500,Dine-out,Koramangala 5th Block
bhojohori manna,Yes,No,4.1,1962,koramangala 6th block,casual dining,"Fish, Sea Food, Chingri Malai Curry, Mutton Kasha, Jumbo Ilish, Chingri Malaikari, Jumbo Prawns","Bengali, Mughlai",650,Dine-out,Koramangala 5th Block
tangerine - davanam sarovar portico suites,Yes,Yes,4.0,151,koramangala 2nd block,casual dining,"Breakfast Buffet, Sushi, Cheesecake, Gulab Jamun, Lunch Buffet, Fish, Noodles","Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese","1,100",Dine-out,Koramangala 5th Block
oye amritsar,Yes,Yes,4.0,1864,koramangala 6th block,casual dining,"Lassi, Raita, Dal Makhani, Jalebi Rabri, Chaach, Hara Bhara Kabab, Lime Soda",North Indian,600,Dine-out,Koramangala 5th Block
sathya's,No,Yes,4.1,759,koramangala 3rd block,bar,"Chicken Tikka, Egg Chilli, Masala Peanuts, Beer, Pepper Chicken, Chilli Chicken, Masala Papad","North Indian, Chinese","1,200",Dine-out,Koramangala 5th Block
gudguda prime cafe,No,Yes,4.2,818,koramangala 6th block,cafe,"Mocktails, Pizza, Veg Platter, Brownie, Burgers, Pasta, Fries Basket","Cafe, Continental, Chinese, Italian",800,Dine-out,Koramangala 5th Block
the local - terrace drinkery,No,No,4.0,1408,koramangala 6th block,"pub, casual dining","Beer, Burgers, Sandwiches, Virgin Mojito, Beef Chilli, Pork Chilli, Nachos","Continental, American, Pizza, BBQ","1,000",Dine-out,Koramangala 5th Block
cafe terra,Yes,No,4.1,778,koramangala 1st block,cafe,"English Breakfast, Waffles, Chocolate Cake, Frittata, Chicken Lasagne, Ginger Tea, Burgers","Cafe, Continental",700,Dine-out,Koramangala 5th Block
baba da dhaba,No,Yes,4.1,450,koramangala 7th block,casual dining,"Dal Makhani, Phirni, Kheer, Chicken Butter Masala, Murgh Lababdar, Chicken Tikka, Paneer Tikka",North Indian,650,Dine-out,Koramangala 5th Block
petoo,Yes,No,3.8,178,koramangala 1st block,casual dining,"Chaat, Gulab Jamun, Biryani, Samosa","North Indian, Fast Food, Street Food",800,Dine-out,Koramangala 5th Block
banjara melting pot,Yes,Yes,4.2,767,koramangala 4th block,casual dining,"Mocktails, Dal Tadka, Paneer Lababdar, Stuffed Kulcha, Vegetable Biryani, Sea Food, Wine","North Indian, Chinese, Seafood","1,700",Dine-out,Koramangala 5th Block
pipabu,Yes,No,3.8,75,koramangala 4th block,casual dining,"Pasta, Pizza","Continental, Italian, Chinese",750,Dine-out,Koramangala 5th Block
pagalkhana,Yes,Yes,3.9,144,koramangala 4th block,casual dining,"Mocktails, Pasta, Wood Fire Pizza, Paneer Malai Tikka, French Fries, Nachos, Burgers","Continental, Chinese, Fast Food, Beverages","1,000",Dine-out,Koramangala 5th Block
154 breakfast club,Yes,Yes,4.0,1515,koramangala 3rd block,cafe,"Pancakes, Waffles, Bbq Sandwich, Mushroom Ragout, Big Breakfast, Nutella Waffle, Omelette","Cafe, Continental",900,Dine-out,Koramangala 5th Block
154 breakfast club,Yes,Yes,4.0,1515,koramangala 3rd block,cafe,"Pancakes, Waffles, Bbq Sandwich, Mushroom Ragout, Big Breakfast, Nutella Waffle, Omelette","Cafe, Continental",900,Dine-out,Koramangala 5th Block
sharma's malai & masala,Yes,No,4.0,457,koramangala 1st block,casual dining,"Chicken Biryani, Kulcha, Chicken Chatpata, Panneer Butter Masala, Paneer Lababdar, Tandoori Chicken, Shahi Paneer",North Indian,650,Dine-out,Koramangala 5th Block
the vacationer's cafe,Yes,No,4.1,306,koramangala 7th block,cafe,"Nachos, Fries, Pasta, Sizzler Brownie, Masala Chai, Pizza, Burgers","Cafe, Continental, Mexican",600,Dine-out,Koramangala 5th Block
